1,Lodówka SAMSUNG RF23M8080SR/EF,Lodówka jest wykończona powłoką z eleganckiej grafitowej stali odpornej na zabrudzenia aby urządzenie zawsze wyglądało nieskazitelnie. Ponadto dzięki innowacyjnym rozwiązaniom drzwi lodówki nie wystają poza zabudowę mebli w kuchniidealnie wpasowując się w każde wnętrze,AGD,2000.99,18,1.23
2,Pralka Panasonic,Klasa energetyczna: A+++ .Ładowanie: Od frontu. Klasa wirowania: A. Prędkość: 1400 obr./min. Ładowność: 8 kg. Szerokość: 60 cm. Głębokość: 52 cm,AGD,200.4,49,1.23
3,T-shirt,Czarny super wygodny,WEAR,39.99,19,1.23
4,Xiaomi Mi 5,Jest lekki (129 g) smukły (7.3 mm) świetnie trzyma się go w dłoni dzięki zaokrąglonym rogom i idealnej jak na mój gust wielkości – 5.15 cala.,MOBILES,1456.99,20,1.23
5,Zmywarka BOSCH SMS46MI04E,Zmywarka w klasie A++ to urządzenie bardzo niskoenergetyczne. Oznacza to że zużywa mniej prądu niż sprzęty o innej niższej klasie energetycznej a co za tym idzie jest bardziej ekologiczne energooszczędne i chroni twój budżet domowy przed wysokimi rachunkami za prąd.,AGD,1599.99,13,1.23
6,Mikrofalówka Haier HGN-2070M,Kuchenka oferuje 6 poziomów mocy  dzięki czemu możesz ustawić indywidualne parametry pracy urządzenia do konkretnej potrawy i  spodziewanego efektu,AGD,219.0,10,1.23
7,LG G6,Obudowę smartfona tworzą metal i szkło połączone w smukłą pełną gracji konstrukcję. W jej centrum znajduje się ekran Quad HD+ FullVision o przekątnej 5.7.,MOBILES,1400.99,15,1.23
8,Okap Bosch DWK065G60,Dobre oświetlenie w kuchni sprawia że praca jest bezpieczna i komfortowa. Okap o klasie oświetlenia A zapewni Ci mocne źródło światła o niskim  poborze energii,AGD,1099.0,21,1.23
9,Samsung Galaxy S9+ SM-G965,W pakiecie Guard S9 znajdziesz szereg rozwiązań które zapewnią Ci komfort użytkowania. Są to: dedykowana infolinia z opcją zdalnego wsparcia możliwość naprawy telefonu do 2 godzin lub jego wymiany w trybie door-to-door oraz rok gwarancji w prezencie. ,MOBILES,3999.99,9,1.23
10,Galaxy Note8,Deklarowany czas pracy baterii oparty jest o wewnętrzne pomiary laboratoryjne dokonane przez Samsung Electronics i może różnić się w zależności od ustawień urządzenia sposobu jego używania i warunków pracy. Szerokość pasma obsługiwana przez urządzenie może różnić się zależnie od regionu lub dostawcy usługi,MOBILES,2567.67,10,1.23
11,Huawei P20 Pro Dual SIM 128GB Czarny,Możliwości czarnego Huawei P20 Pro są naprawdę imponujące. To pierwszy smartfon potrafiący reagować na Twój głos dotknięcie i spojrzenie. Posiada potrójny aparat Leica o maksymalnej rozdzielczości 40 Mpix,MOBILES,3567.25,8,1.23
12,Nokia 230 Dual SIM szary,Nokia 230 Dual SIM doskonale łączy układ klasycznego telefonu z nowoczesnymi narzędziami do pracy i rozrywki. Ta wygodna a jednocześnie prosta w obsłudze konstrukcja obsługuje dwie karty SIM pozwalając na swobodne korzystanie z usług różnych operatorów,MOBILES,450.9,22,1.23
13,T-shirt z nadrukiem RE.ACTIVE,T-shirt o regularnym kroju zapewni Ci komfort na intensywnym treningu. Na przodzie oryginalny nadruk RE.ACTIVE. Dół i rękawy wykończone na płasko. Z tyłu odblaskowy nadruk. W całości wykonany z lekkiej i przewiewnej bawełny.,WEAR,99.99,29,1.23
14,T-shirt dla kibica,Dobry do gry w piłke,WEAR,45.78,12,1.23
15,Bluzka z krótkimi rękawami,Bluzka z półokrągłym dekoltem. Rękawy zdobią regularne wycięcia. Uszyta z gładkiej dzianiny. ,WEAR,55.9,26,1.23
16,Spodnie REGULAR FIT,Bawełniane spodnie wykonane z tkaniny z domieszką elastanu. Klasyczny fason z prostymi nogawkami. Pięć standardowych kieszeni. Zapięcie na zamek i guzik.,WEAR,200.6,10,1.23
17,Joggery REGULAR FIT,Spodnie typu joggers o swobodnym kroju z pięcioma kieszeniami. W górnej części sznurek regulujący obwód w pasie. Przy nogawkach komfortowe ściągacze. ,WEAR,88.89,16,1.23
